id,genero_inscriptor,localidad,id_provincia,provincia,region,sector,rubro,sub_rubro,tipo_de_emprendimiento,etapa_de_desarrollo_del_proyecto,monto_otorgado
176,Femenino,San Miguel de Tucuman,90,Tucuman,Noroeste,Actividades administrativas y servicios de apoyo,Servicios de agencias de viaje y otras actividades complementarias de apoyo turistico,Servicios minoristas de agencias de viajes,Servicio,Prototipo en Desarrollo,198000
177,Masculino,La Matanza,6,Buenos Aires,Pampeana,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion de productos alimenticios n.c.p. (incluye la elaboracion de polvos para preparar postres y gelatinas, levadura, productos para copetin, sopas, sal de mesa, mayonesa, mostaza, etc.)",Servicio,Funcional con Ingresos,250000
178,Masculino,Zonda,70,San Juan,Cuyo,Enseñanza,Servicios de enseñanza n.c.p.,Enseñanza especial y para discapacitados,Servicio,Concepto / Idea ,249993
179,Masculino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion de comidas preparadas para reventa (incluye la elaboracion de comidas preparadas para reventa en supermercados, kioscos, cafeterias, etc.)",Producto,Prototipo en Desarrollo,247700
180,Masculino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Fabricacion de muebles y colchones,"Fabricacion de muebles y partes de muebles, principalmente de madera",Producto,Funcional sin Ingresos,105000
181,Masculino,San Juan,70,San Juan,Cuyo,"Servicios profesionales, cientificos y tecnicos",Servicios de fotografia,Servicios de fotografia,Producto,Funcional con Ingresos,249739
182,Femenino,San Miguel de Tucuman,90,Tucuman,Noroeste,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de ropa de trabajo, uniformes y guardapolvos",Producto,Funcional sin Ingresos,249880
183,Masculino,San Luis del Palmar,18,Corrientes,Noreste,Informacion y comunicaciones,"Procesamiento de datos, hospedaje y actividades conexas, portales <U+0093>web<U+0094>","Portales ""web""",Producto,Concepto / Idea ,249250
184,Masculino,Guaymallen,50,Mendoza,Cuyo,Industria manufacturera,Impresion y servicios relacionados con la impresion,Servicios relacionados con la impresion,Mejora de Proceso Productivo,Funcional con Ingresos,210803
185,Masculino,Chacabuco,6,Buenos Aires,Pampeana,"Servicios artisticos, culturales, deportivos y de esparcimiento",Servicios para la practica deportiva,"Servicios prestados por profesionales y tecnicos para la realizacion de practicas deportivas (incluye la actividad realizada por entrenadores, instructores, jueces arbitros, cronometradores, etc.)",Servicio,Prototipo en Desarrollo,250000
186,Persona juridica,Rosario,82,Santa Fe,Pampeana,Informacion y comunicaciones,Servicios de programacion y consultoria informatica y actividades conexas,Servicios de consultores en informatica y suministros de programas de informatica,Producto,Prototipo en Desarrollo,250000
187,Persona juridica,Godoy Cruz,50,Mendoza,Cuyo,Servicios de asociaciones y servicios personales,Servicios personales n.c.p.,"Servicios personales n.c.p. (incluye actividades de astrologia y espiritismo, las realizadas con fines sociales como agencias matrimoniales, de investigaciones genealogicas, de contratacion de acompañantes, la actividad de lustrabotas, acomodadores de autos, etc.)",Servicio,Funcional sin Ingresos,249999
